label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
S,Right,legacy_sibi_S_0,0.000000,0.000000,0.382398,-0.233786,0.588970,-0.516094,0.571260,-0.783046,0.468963,-0.997600,0.475895,-0.933646,0.529675,-1.165884,0.492142,-0.957932,0.456853,-0.773356,0.210890,-0.977510,0.257072,-1.207674,0.245302,-0.943670,0.243276,-0.758109,-0.039701,-0.955896,-0.012139,-1.115831,0.013491,-0.883154,0.031802,-0.741603,-0.280715,-0.873668,-0.244679,-0.947315,-0.183514,-0.782173,-0.144179,-0.686961
S,Right,legacy_sibi_S_1,0.000000,0.000000,0.372864,-0.168104,0.626369,-0.418941,0.621190,-0.684823,0.463149,-0.869065,0.557016,-0.883321,0.624342,-1.089568,0.559762,-0.932730,0.509027,-0.781086,0.297856,-0.954611,0.321049,-1.175268,0.278087,-0.946903,0.264349,-0.800145,0.043069,-0.947780,0.032265,-1.075492,0.035422,-0.867337,0.047741,-0.767595,-0.210248,-0.873395,-0.206242,-0.939962,-0.163640,-0.781487,-0.135004,-0.704822
S,Right,legacy_sibi_S_2,0.000000,0.000000,0.373553,-0.101978,0.678333,-0.374361,0.657477,-0.675115,0.434346,-0.854404,0.605446,-0.883695,0.680303,-1.063044,0.583134,-0.852594,0.519381,-0.709199,0.292503,-0.956264,0.309306,-1.157803,0.259380,-0.868701,0.258677,-0.753516,-0.001274,-0.935549,-0.037283,-1.030372,-0.029113,-0.779684,-0.001343,-0.723568,-0.280540,-0.847195,-0.297994,-0.870930,-0.245959,-0.682734,-0.191175,-0.634814
S,Right,legacy_sibi_S_3,0.000000,0.000000,0.328708,-0.072845,0.653547,-0.346005,0.696498,-0.672664,0.484326,-0.872987,0.644692,-0.817569,0.745672,-1.004096,0.666325,-0.833686,0.594669,-0.734377,0.354877,-0.934913,0.463512,-1.180454,0.395412,-0.846957,0.362199,-0.773421,0.058156,-0.945687,0.095429,-1.116094,0.086796,-0.794435,0.069108,-0.751691,-0.259067,-0.887339,-0.195533,-0.991394,-0.145827,-0.747649,-0.146860,-0.705211
S,Right,legacy_sibi_S_4,0.000000,0.000000,0.326927,-0.100686,0.655893,-0.371325,0.670311,-0.702235,0.451542,-0.905569,0.636011,-0.822720,0.762354,-1.037815,0.665051,-0.826820,0.577338,-0.729053,0.362935,-0.931814,0.472574,-1.188542,0.400405,-0.833182,0.353546,-0.746524,0.069110,-0.937145,0.127710,-1.122371,0.115399,-0.768315,0.082483,-0.707900,-0.257312,-0.879422,-0.176230,-0.998355,-0.120929,-0.750550,-0.120633,-0.697405
S,Right,legacy_sibi_S_5,0.000000,0.000000,0.340121,-0.092040,0.656839,-0.370690,0.663713,-0.701699,0.447830,-0.897515,0.629605,-0.831813,0.733477,-1.038939,0.643776,-0.803860,0.566438,-0.696231,0.358731,-0.933441,0.452630,-1.184089,0.395147,-0.819511,0.356185,-0.729098,0.071955,-0.939258,0.117501,-1.126706,0.113717,-0.758980,0.086756,-0.688594,-0.244452,-0.883443,-0.171073,-1.001398,-0.120052,-0.740744,-0.122771,-0.675257
S,Right,legacy_sibi_S_6,0.000000,0.000000,0.322581,-0.119416,0.643071,-0.396920,0.657891,-0.720038,0.441901,-0.909047,0.613189,-0.844993,0.726344,-1.064919,0.624689,-0.811749,0.550645,-0.715590,0.339212,-0.940710,0.436674,-1.202623,0.370029,-0.836043,0.332340,-0.757529,0.046765,-0.943524,0.098314,-1.134131,0.089644,-0.765025,0.062912,-0.699376,-0.275187,-0.890653,-0.198180,-1.010351,-0.141112,-0.755311,-0.139939,-0.696345
S,Right,legacy_sibi_S_7,0.000000,0.000000,0.333653,-0.103214,0.668044,-0.380039,0.684648,-0.709295,0.458497,-0.889418,0.628889,-0.839443,0.735479,-1.050615,0.635709,-0.795330,0.559924,-0.703651,0.352855,-0.935678,0.448960,-1.191484,0.385026,-0.823152,0.340179,-0.743943,0.058331,-0.939460,0.107523,-1.121869,0.104625,-0.753226,0.074792,-0.690042,-0.262802,-0.888149,-0.179295,-0.997316,-0.122137,-0.744821,-0.127179,-0.693815
S,Right,legacy_sibi_S_8,0.000000,0.000000,0.323827,-0.104409,0.657571,-0.380020,0.676593,-0.706288,0.455497,-0.890818,0.625852,-0.838595,0.732972,-1.052716,0.630094,-0.798733,0.554563,-0.704588,0.351149,-0.936320,0.445054,-1.189831,0.379224,-0.826590,0.341394,-0.753572,0.057602,-0.939829,0.102076,-1.119826,0.095945,-0.755972,0.072405,-0.697405,-0.264198,-0.888714,-0.191046,-0.995587,-0.133515,-0.745987,-0.131146,-0.696077
S,Right,legacy_sibi_S_9,0.000000,0.000000,0.325659,-0.101648,0.665499,-0.383429,0.683423,-0.716468,0.449596,-0.898069,0.627300,-0.837742,0.740460,-1.059101,0.635930,-0.799993,0.561536,-0.710812,0.352271,-0.935898,0.451843,-1.197077,0.384813,-0.829486,0.342961,-0.761281,0.059082,-0.941125,0.106297,-1.127357,0.101545,-0.758499,0.073317,-0.701480,-0.261250,-0.894936,-0.185894,-1.002502,-0.128704,-0.751705,-0.130888,-0.704203
