label,handedness,timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
E,Right,legacy_sibi_E_0,0.000000,0.000000,0.371190,-0.163722,0.631775,-0.478918,0.685494,-0.805319,0.452985,-0.892073,0.262266,-1.016842,0.209562,-1.428911,0.252955,-1.295854,0.283484,-1.065654,-0.004708,-0.999989,-0.069462,-1.452568,-0.020485,-1.205432,0.027154,-0.970467,-0.236411,-0.939228,-0.326185,-1.334851,-0.260469,-1.124957,-0.205171,-0.908715,-0.458617,-0.833080,-0.544902,-1.132334,-0.473645,-1.026435,-0.408199,-0.872075
E,Right,legacy_sibi_E_1,0.000000,0.000000,0.377724,-0.138847,0.657402,-0.467732,0.726184,-0.806763,0.479342,-0.859645,0.275360,-1.012452,0.243204,-1.428896,0.283830,-1.297642,0.292734,-1.067842,0.009414,-0.999956,-0.078495,-1.448677,-0.013148,-1.222768,0.039250,-0.982858,-0.228057,-0.936178,-0.326062,-1.320918,-0.251223,-1.130299,-0.197031,-0.912639,-0.459848,-0.828494,-0.548056,-1.120238,-0.478088,-1.033367,-0.412901,-0.886577
E,Right,legacy_sibi_E_2,0.000000,0.000000,0.375277,-0.123400,0.657776,-0.453786,0.732031,-0.794419,0.484576,-0.852238,0.273341,-1.011764,0.240257,-1.430684,0.288607,-1.285271,0.304633,-1.049581,0.005366,-0.999986,-0.076426,-1.447937,-0.008651,-1.212798,0.044715,-0.972065,-0.235099,-0.935429,-0.327574,-1.326536,-0.253735,-1.129022,-0.200077,-0.908459,-0.469537,-0.827027,-0.554402,-1.118681,-0.487514,-1.025960,-0.426492,-0.876887
E,Right,legacy_sibi_E_3,0.000000,0.000000,0.377781,-0.115807,0.657637,-0.447466,0.736676,-0.791161,0.494191,-0.859626,0.274161,-1.009378,0.240210,-1.424008,0.276778,-1.286408,0.286548,-1.053436,0.002212,-0.999998,-0.079131,-1.443453,-0.020842,-1.206720,0.029447,-0.964534,-0.240572,-0.935896,-0.331948,-1.322752,-0.265096,-1.123968,-0.214056,-0.905238,-0.477030,-0.827971,-0.556269,-1.118699,-0.494469,-1.022317,-0.437312,-0.873094
E,Right,legacy_sibi_E_4,0.000000,0.000000,0.377368,-0.113027,0.655327,-0.450251,0.731257,-0.795484,0.485692,-0.856407,0.274424,-1.009552,0.244540,-1.430015,0.289049,-1.285390,0.300713,-1.048789,0.006333,-0.999980,-0.071606,-1.446594,-0.012442,-1.201732,0.037774,-0.953691,-0.234881,-0.934291,-0.325935,-1.324439,-0.255144,-1.117850,-0.200136,-0.893590,-0.473076,-0.822241,-0.548343,-1.111489,-0.480174,-1.014772,-0.417032,-0.863912
E,Right,legacy_sibi_E_5,0.000000,0.000000,0.378342,-0.114914,0.655645,-0.450772,0.736814,-0.793287,0.496094,-0.861282,0.271540,-1.010803,0.241071,-1.429337,0.285095,-1.284975,0.301257,-1.047517,0.002849,-0.999996,-0.076198,-1.444979,-0.016828,-1.206674,0.038182,-0.956340,-0.238647,-0.932979,-0.331703,-1.322640,-0.260312,-1.122880,-0.200181,-0.897126,-0.474113,-0.820535,-0.550629,-1.109646,-0.483694,-1.015905,-0.418086,-0.862914
E,Right,legacy_sibi_E_6,0.000000,0.000000,0.376130,-0.114853,0.652462,-0.448288,0.732799,-0.791034,0.489238,-0.857544,0.267868,-1.011552,0.234941,-1.436346,0.274910,-1.284754,0.288901,-1.048747,0.001820,-0.999998,-0.078785,-1.449399,-0.022320,-1.202970,0.031535,-0.958843,-0.238208,-0.933958,-0.332915,-1.328711,-0.264172,-1.119604,-0.205920,-0.895313,-0.472117,-0.822594,-0.550461,-1.113578,-0.483014,-1.014344,-0.417427,-0.862629
E,Right,legacy_sibi_E_7,0.000000,0.000000,0.374684,-0.121664,0.645735,-0.451036,0.724124,-0.788709,0.482377,-0.855931,0.260427,-1.012230,0.226618,-1.431107,0.269338,-1.273799,0.283020,-1.040543,-0.005039,-0.999987,-0.085771,-1.442489,-0.026156,-1.192511,0.025493,-0.953142,-0.243816,-0.933658,-0.340903,-1.324378,-0.269453,-1.113260,-0.212658,-0.893175,-0.474061,-0.822040,-0.557297,-1.104651,-0.487538,-1.005237,-0.421981,-0.859321
E,Right,legacy_sibi_E_8,0.000000,0.000000,0.374503,-0.119269,0.649597,-0.448680,0.727796,-0.785119,0.490793,-0.852101,0.263197,-1.010949,0.233339,-1.427279,0.277658,-1.272859,0.291683,-1.038839,-0.005276,-0.999986,-0.087628,-1.440001,-0.025759,-1.195071,0.026441,-0.953150,-0.247346,-0.933491,-0.338213,-1.320882,-0.268272,-1.117143,-0.215272,-0.896971,-0.479750,-0.822039,-0.559433,-1.109580,-0.493134,-1.013739,-0.433283,-0.868119
E,Right,legacy_sibi_E_9,0.000000,0.000000,0.377673,-0.115737,0.655384,-0.450118,0.732165,-0.792659,0.488566,-0.859099,0.270414,-1.010673,0.235800,-1.426935,0.277624,-1.277973,0.295083,-1.043659,0.001856,-0.999998,-0.083554,-1.438981,-0.024760,-1.197414,0.030714,-0.954466,-0.240968,-0.934733,-0.331877,-1.319495,-0.264661,-1.120718,-0.208980,-0.898772,-0.473815,-0.824598,-0.554659,-1.111009,-0.491699,-1.014282,-0.430883,-0.865773
